student_id,achievement_score,achievement_problem_solving,achievement_self_learning,achievement_process_clarity,adaptation_score,adaptation_accepts_difficulty,adaptation_persistence,adaptation_strategy_variety,relationship_score,relationship_collaboration,relationship_conflict_handling,relationship_help_exchange,label
STU047,5,5,5,5,5,4,5,5,5,4,5,5,0
STU048,5,4,5,5,4,5,4,5,5,5,5,5,0
STU049,5,4,4,5,4,5,4,5,5,5,4,5,0
STU050,5,5,4,5,4,4,3,4,4,5,5,5,0
STU051,4,4,5,3,4,5,4,5,4,3,5,3,0
STU052,4,5,5,4,5,4,4,5,5,5,4,4,0
STU053,3,2,3,4,3,2,3,3,3,4,4,2,0
STU054,5,5,5,4,5,4,5,5,4,3,3,4,0
STU055,3,4,3,2,3,4,2,2,5,5,4,5,0
STU056,5,5,5,5,5,5,5,5,5,5,5,5,0
STU057,3,3,3,2,5,5,5,5,4,4,5,3,0
STU058,4,5,4,3,4,4,4,4,3,4,2,2,0
STU059,3,4,2,4,3,2,2,3,4,4,4,5,0
STU060,4,3,4,4,4,5,5,3,3,4,3,3,0
STU061,3,3,3,4,4,5,5,5,4,5,3,4,0
STU062,3,3,2,3,4,4,5,5,4,4,5,3,0
STU063,4,5,3,4,3,4,4,4,5,4,4,5,0
STU064,4,3,3,4,3,3,3,2,4,4,4,4,0
STU065,4,4,3,4,4,3,5,5,4,3,4,3,0
STU066,5,4,4,4,3,2,2,4,5,4,4,4,0
STU067,4,5,3,4,5,5,5,5,3,2,4,4,0
STU068,5,4,5,4,5,5,4,5,3,4,4,3,0
STU069,4,3,5,5,5,5,4,4,3,4,3,4,0
STU070,5,4,5,5,3,3,4,3,5,4,5,5,0
STU071,4,4,3,4,3,3,4,3,4,5,3,4,0
STU072,3,4,3,4,5,5,5,5,5,5,5,5,0
STU073,4,3,4,4,4,3,4,5,3,4,4,3,0
STU074,4,4,3,4,3,2,3,3,4,4,4,5,0
STU075,5,4,5,4,4,3,3,5,5,5,5,5,0
STU076,3,4,4,3,5,5,4,4,4,4,3,4,0
STU077,5,5,5,5,3,3,4,4,4,4,4,5,0
STU078,5,5,5,5,4,4,4,3,4,3,5,3,0
STU079,4,5,5,3,3,2,2,4,5,5,5,5,0
STU080,5,5,4,4,5,5,4,5,5,4,5,4,0
STU081,5,5,4,4,5,5,5,5,3,2,4,3,0
STU082,3,3,3,3,3,3,3,2,5,4,5,5,0
STU083,3,3,2,4,3,4,4,2,4,3,3,5,0
STU084,4,3,5,4,3,4,4,4,3,2,4,3,0
STU085,4,5,4,4,4,5,5,3,4,5,5,3,0
STU086,3,3,4,2,5,4,4,4,3,4,2,2,0
STU087,3,4,4,3,4,4,3,3,4,4,5,4,0
STU088,5,5,4,5,4,5,5,5,3,2,3,2,0
STU089,5,4,5,4,3,2,2,2,5,5,5,5,0
STU090,5,4,5,5,4,4,5,4,4,4,5,5,0
STU091,4,5,3,4,4,5,4,5,3,3,2,2,0
STU092,3,4,2,4,5,5,5,4,5,4,5,5,0
STU093,5,4,5,5,4,5,4,3,4,4,4,4,0
STU094,4,3,3,4,4,4,5,4,5,5,5,5,0
STU095,5,4,5,5,3,3,2,3,4,5,3,5,0
STU096,5,4,4,5,4,4,5,4,4,5,4,3,0
STU097,3,2,3,3,4,5,4,3,5,4,5,5,0
STU098,3,3,4,2,5,5,5,4,3,2,2,3,0
STU099,3,3,4,3,5,5,5,5,3,3,3,3,0
STU100,3,2,3,2,4,5,5,5,5,4,4,5,0
STU101,4,4,3,4,4,5,4,5,5,5,5,5,0
STU102,3,3,3,3,4,5,5,4,5,5,5,4,0
STU103,5,5,4,5,3,2,3,4,5,5,5,5,0
STU104,4,3,4,3,5,4,5,5,5,5,4,5,0
STU105,3,2,4,2,5,5,5,4,4,3,4,4,0
STU106,4,4,5,3,5,5,5,5,5,5,5,5,0
STU107,5,4,5,4,4,3,5,5,5,5,4,5,0
STU108,3,4,4,2,4,4,3,5,3,3,2,2,0
STU109,4,4,4,4,3,2,2,4,4,4,5,5,0
STU110,3,2,4,3,3,4,4,2,3,3,4,2,0
STU111,3,3,3,3,4,5,3,4,5,5,5,5,0
STU112,3,3,4,3,3,4,3,4,4,4,4,4,0
STU113,3,2,2,3,4,5,4,5,4,4,5,4,0
STU114,3,3,2,4,5,5,5,4,4,5,5,4,0
STU115,4,4,3,5,3,2,4,3,5,5,5,5,0
STU116,5,4,5,5,3,2,3,3,5,4,5,5,0
STU117,5,5,5,5,3,3,2,2,3,2,4,3,0
STU118,5,4,5,5,5,5,5,5,4,3,4,3,0
STU119,3,4,4,3,3,4,3,2,5,5,4,5,0
STU120,5,5,5,5,3,4,3,4,4,4,5,4,0
STU121,3,3,2,4,5,5,5,5,3,2,4,2,0
STU122,5,5,5,5,4,3,3,3,5,4,5,5,0
STU123,3,4,2,3,3,3,3,4,3,4,4,4,0
STU124,4,5,3,4,5,5,4,5,5,5,5,5,0
STU125,3,2,3,3,5,4,5,4,4,5,4,5,0
STU126,5,5,5,4,4,3,4,3,3,4,2,4,0
STU127,5,4,5,4,5,4,5,4,3,2,4,2,0
STU128,5,5,4,5,3,2,3,2,3,2,4,3,0
STU129,3,2,2,2,3,3,2,4,5,5,4,4,0
STU130,4,5,4,5,3,2,4,2,3,3,3,3,0
STU131,5,5,5,4,5,5,4,5,3,4,4,3,0
STU132,4,3,4,4,5,5,5,4,3,3,4,3,0
STU133,3,4,2,2,3,2,3,4,4,5,5,5,0
STU134,5,5,5,5,4,4,5,5,4,4,3,5,0
STU135,3,4,4,2,5,5,5,4,5,5,5,5,0
STU136,4,3,4,4,4,4,5,4,5,5,4,5,0
STU137,4,3,3,4,3,2,4,4,3,3,2,4,0
STU138,3,4,3,4,5,4,5,5,5,5,5,5,0
STU139,3,3,3,2,4,5,5,3,5,4,5,5,0
STU140,3,4,3,2,3,3,4,2,4,4,5,5,0
STU141,5,5,4,5,5,5,5,5,5,4,4,5,0
STU142,5,5,4,4,4,3,5,5,4,4,3,3,0
STU143,5,4,5,5,5,4,5,5,3,3,3,2,0
STU144,4,4,5,5,4,3,3,3,5,4,5,4,0
STU145,5,5,5,5,3,3,4,3,4,4,4,3,0
STU146,5,5,4,5,3,4,4,4,4,4,5,5,0
STU147,4,4,5,3,3,2,2,3,3,2,2,3,0
STU148,4,3,4,5,4,4,3,3,3,3,4,4,0
STU149,3,4,3,2,5,5,5,4,5,5,4,5,0
STU150,3,3,4,3,4,5,5,4,5,5,4,5,0
STU151,2,2,1,1,2,2,3,2,1,2,1,1,1
STU152,2,3,3,1,1,2,2,1,1,1,1,2,1
STU153,1,1,2,1,3,4,2,2,1,2,1,1,1
STU154,1,1,1,2,2,2,2,3,1,1,1,2,1
STU155,4,4,4,3,1,2,1,2,1,2,2,1,1
STU156,1,2,1,1,2,2,1,2,2,3,1,3,1
STU157,2,2,2,2,4,4,4,4,1,2,2,1,1
STU158,2,3,3,3,2,1,2,1,2,3,3,1,1
STU159,1,2,1,1,2,3,3,3,2,3,3,1,1
STU160,2,1,2,2,2,1,1,1,1,1,1,1,1
STU161,2,1,1,1,2,3,3,1,2,3,2,1,1
STU162,2,3,1,2,2,2,1,2,1,2,2,1,1
STU163,1,1,1,2,1,1,1,2,1,1,2,2,1
STU164,1,2,1,1,2,1,1,2,4,4,3,4,1
STU165,2,2,1,1,2,2,1,3,1,2,1,1,1
STU166,2,2,3,1,1,1,1,1,4,3,3,5,1
STU167,2,1,2,3,1,2,1,1,1,1,1,2,1
STU168,1,1,2,1,3,2,4,3,2,1,3,3,1
STU169,1,1,1,2,1,1,1,1,2,3,1,2,1
STU170,1,1,1,2,2,2,3,1,2,3,2,3,1
STU171,1,1,1,1,2,1,1,2,1,1,2,1,1
STU172,2,3,2,2,2,1,2,2,1,1,2,1,1
STU173,2,1,3,2,2,1,2,3,2,1,3,2,1
STU174,2,3,3,2,2,1,3,2,2,2,2,1,1
STU175,1,1,2,2,1,2,1,1,2,1,3,3,1
STU176,1,1,2,1,2,3,1,3,2,2,2,2,1
STU177,2,1,1,1,2,3,1,2,2,3,2,3,1
STU178,4,5,4,3,1,1,1,1,2,2,1,3,1
STU179,1,1,2,2,2,3,3,1,2,2,3,1,1
STU180,1,1,2,2,4,4,4,5,1,1,2,1,1
STU181,4,5,3,3,2,2,3,1,2,2,2,3,1
STU182,2,3,1,2,1,1,1,1,1,2,1,1,1
STU183,2,3,3,1,1,2,2,1,2,3,3,1,1
STU184,1,1,2,2,1,1,2,1,1,2,1,2,1
STU185,3,4,3,3,2,2,1,3,1,1,1,1,1
STU186,2,3,2,3,1,1,1,1,2,2,3,3,1
STU187,2,2,1,1,1,1,1,1,3,3,4,3,1
STU188,2,2,3,2,1,1,1,1,2,1,1,2,1
STU189,1,1,2,2,1,2,1,1,2,3,1,1,1
STU190,2,2,1,3,2,3,1,2,1,2,1,1,1
STU191,1,1,1,1,1,2,1,1,1,1,2,2,1
STU192,1,1,2,1,1,1,2,2,2,1,2,3,1
STU193,2,2,1,2,2,2,3,1,2,2,3,2,1
STU194,3,4,3,2,1,2,2,2,1,2,1,1,1
STU195,1,1,1,1,1,1,2,1,2,2,3,3,1
STU196,1,2,1,1,2,1,2,3,2,2,3,2,1
STU197,1,1,1,1,2,3,1,3,2,3,2,2,1
STU198,1,1,1,1,2,1,2,3,2,1,2,2,1
STU199,1,1,1,2,2,3,3,1,2,1,1,3,1
STU200,1,1,2,1,1,1,2,1,2,1,3,1,1
STU201,1,1,2,1,2,1,3,3,2,1,3,3,1
STU202,1,1,1,2,1,1,1,1,4,4,5,5,1
STU203,4,5,4,4,2,1,1,2,1,1,2,1,1
STU204,2,1,3,3,2,2,2,3,1,1,1,1,1
STU205,2,1,2,2,3,2,3,3,1,1,1,2,1
STU206,2,2,2,1,1,1,2,2,1,2,1,2,1
STU207,3,2,3,2,1,1,2,2,1,1,1,2,1
STU208,1,1,2,1,2,1,3,3,2,1,3,3,1
STU209,2,3,3,2,1,1,2,1,2,1,2,1,1
STU210,2,2,1,3,1,1,2,1,2,1,2,2,1
STU211,1,1,1,1,4,3,5,5,1,2,1,1,1
STU212,1,1,1,2,1,1,2,1,2,3,1,1,1
STU213,4,3,4,4,2,1,2,1,1,2,1,1,1
STU214,1,2,1,1,1,2,2,2,1,1,1,2,1
STU215,2,1,3,2,1,1,2,2,1,1,2,2,1
STU216,1,1,1,2,2,3,3,1,2,3,3,2,1
STU217,2,1,2,2,2,1,3,2,2,1,1,2,1
STU218,2,2,1,2,2,1,2,3,2,1,2,2,1
STU219,1,2,2,2,3,2,2,2,2,3,3,3,1
STU220,2,1,1,3,2,1,3,2,1,1,2,2,1
STU221,2,2,3,3,2,2,2,2,4,4,5,4,1
STU222,1,1,1,2,2,1,3,1,2,1,2,3,1
STU223,2,3,1,2,1,2,2,2,2,2,2,2,1
STU224,1,1,2,2,1,1,2,1,2,1,3,1,1
STU225,1,1,1,2,1,1,1,1,2,3,3,3,1
STU226,1,1,2,2,2,2,3,2,1,1,2,2,1
STU227,1,2,2,1,1,1,1,1,1,1,1,1,1
STU228,2,1,2,2,1,1,2,1,1,1,2,1,1
STU229,2,3,1,1,2,1,3,3,1,1,1,1,1
STU230,1,1,1,2,1,1,2,1,2,1,2,1,1
STU231,3,4,4,2,2,3,3,2,1,1,1,1,1
STU232,2,3,2,2,2,2,1,2,1,2,1,1,1
STU233,1,2,1,1,2,2,1,2,1,2,2,1,1
STU234,1,1,1,1,1,1,1,1,2,1,2,2,1
STU235,2,2,1,2,1,1,1,1,2,3,3,1,1
STU236,2,2,2,2,1,1,1,1,2,2,2,2,1
STU237,2,3,3,1,1,1,1,1,2,2,1,2,1
STU238,2,3,3,1,2,2,2,3,2,3,1,2,1
STU239,2,2,2,2,2,2,2,1,1,2,1,2,1
STU240,2,2,3,1,2,2,3,2,2,1,3,2,1
STU241,2,2,3,2,2,3,2,3,1,2,2,1,1
STU242,1,1,2,2,1,1,2,2,3,4,4,3,1
STU243,1,2,2,2,2,3,3,3,1,2,1,1,1
STU244,2,1,2,2,1,1,1,2,2,1,2,2,1
STU245,2,2,3,3,2,2,2,1,1,1,1,2,1
STU246,1,2,1,2,1,1,1,2,2,2,2,1,1
STU247,2,3,3,1,2,2,3,2,1,1,1,2,1
STU248,1,1,1,1,1,1,1,1,2,3,2,3,1
STU249,1,1,2,1,2,3,3,2,2,3,3,1,1
STU250,1,1,1,2,2,1,3,2,1,1,2,1,1
STU251,1,1,1,1,1,1,1,2,2,1,2,1,1
STU252,2,2,3,2,2,2,1,1,2,3,1,1,1
STU253,2,3,3,2,1,2,2,1,2,3,1,2,1
STU254,1,2,2,1,2,2,1,2,1,1,1,1,1
STU255,2,3,1,1,2,1,1,3,1,1,2,1,1
STU256,3,2,3,2,2,2,3,1,1,2,1,1,1
STU257,2,1,3,3,2,2,3,2,2,2,2,1,1
STU258,3,3,4,2,2,3,1,3,2,2,3,3,1
STU259,2,2,2,2,1,1,2,2,2,1,3,2,1
STU260,1,1,1,1,2,2,1,2,1,1,2,1,1
STU261,2,2,3,3,2,1,1,2,1,2,1,2,1
STU262,1,1,1,1,1,2,1,2,2,3,2,1,1
STU263,1,1,1,1,2,2,1,3,1,1,1,1,1
STU264,1,2,2,1,1,2,2,1,1,1,1,2,1
STU265,2,1,1,1,4,3,5,5,1,1,1,1,1
STU266,1,2,1,2,1,1,1,2,2,3,3,1,1
STU267,2,1,2,3,2,3,1,3,1,1,1,1,1
STU268,3,2,2,4,1,1,1,1,2,1,1,1,1
STU269,2,3,3,3,2,3,1,2,1,1,1,1,1
STU270,2,3,2,3,1,1,1,1,3,2,3,2,1
STU271,1,2,1,2,1,1,1,1,1,1,2,2,1
STU272,2,2,2,2,1,2,1,1,1,2,2,2,1
STU273,3,4,2,3,1,1,1,1,2,3,3,3,1
STU274,1,1,1,1,1,1,1,1,1,1,2,2,1
STU275,2,1,3,2,2,1,3,3,2,1,1,1,1
STU276,2,2,1,3,2,2,1,2,3,2,3,4,1
STU277,2,3,3,1,2,1,1,2,1,1,1,2,1
STU278,1,1,1,2,2,1,2,2,2,1,1,3,1
STU279,2,3,1,3,2,1,3,1,2,3,2,1,1
STU280,1,1,1,2,2,3,2,2,3,3,3,2,1
STU281,1,1,1,1,2,2,2,1,1,2,1,1,1
STU282,1,2,1,2,1,2,2,1,1,1,1,1,1
STU283,2,3,2,2,4,3,3,4,1,1,2,2,1
STU284,1,1,1,1,1,1,1,1,1,1,2,2,1
STU285,1,1,2,1,1,1,1,1,1,1,1,1,1
STU286,2,2,3,2,2,1,2,1,1,1,1,1,1
STU287,2,3,2,1,2,1,2,2,2,1,2,1,1
STU288,2,3,2,2,3,4,4,3,2,2,2,1,1
STU289,1,1,2,1,2,3,1,1,1,1,1,2,1
STU290,1,1,1,1,2,3,2,3,3,4,3,4,1
STU291,2,3,2,1,1,1,1,1,2,1,1,3,1
STU292,1,1,1,2,2,1,2,1,2,1,1,3,1
STU293,1,2,1,1,2,2,2,1,4,3,5,4,1
STU294,2,2,2,3,1,2,1,1,1,1,2,1,1
STU295,2,2,1,2,1,2,1,1,1,1,1,1,1
STU296,4,3,3,5,1,1,1,1,2,1,3,1,1
STU297,4,4,4,4,1,2,1,1,2,2,3,3,1
STU298,1,1,1,1,1,1,1,1,3,2,3,2,1
STU299,2,2,3,1,4,5,4,3,1,1,1,1,1
STU300,2,1,1,1,2,2,3,3,3,3,2,2,1
